BGC,SIClass,Area,Var
IDFdk5,4,21256,AllForest
IDFdk5,5,4017,AllForest
IDFdk5,6,72,AllForest
IDFdm1,3,31875,AllForest
IDFdm1,4,46448,AllForest
IDFdm1,5,6415,AllForest
IDFdm1,6,478,AllForest
IDFdm1,7,73,AllForest
IDFdm2,3,56864,AllForest
IDFdm2,4,58722,AllForest
IDFdm2,5,7134,AllForest
IDFdm2,6,569,AllForest
IDFdm2,7,132,AllForest
IDFdw,3,42063,AllForest
IDFdw,4,8564,AllForest
IDFdw,5,378,AllForest
IDFdw,6,44,AllForest
IDFmw2,3,23979,AllForest
IDFmw2,4,73944,AllForest
IDFmw2,5,23668,AllForest
IDFmw2,6,913,AllForest
IDFmw2,7,74,AllForest
IDFww,3,8976,AllForest
IDFww,4,23746,AllForest
IDFww,5,12317,AllForest
IDFww,6,4211,AllForest
IDFww,7,1572,AllForest
IDFww1,3,2855,AllForest
IDFww1,4,1978,AllForest
IDFww1,5,329,AllForest
IDFww1,6,46,AllForest
IDFww1,7,2,AllForest
IDFxc,3,19606,AllForest
IDFxc,4,5122,AllForest
IDFxc,5,548,AllForest
IDFxc,6,92,AllForest
IDFxc,7,16,AllForest
IDFxh1,3,63122,AllForest
IDFxh1,4,20872,AllForest
IDFxh1,5,1475,AllForest
IDFxh1,6,152,AllForest
IDFxh1,7,13,AllForest
IDFxh2,3,117304,AllForest
IDFxh2,4,28924,AllForest
IDFxh2,5,1050,AllForest
IDFxh2,6,108,AllForest
IDFxk,3,4283,AllForest
IDFxk,4,602,AllForest
IDFxk,5,115,AllForest
IDFxk,6,28,AllForest
IDFxm,3,91266,AllForest
IDFxm,4,16390,AllForest
IDFxm,5,854,AllForest
IDFxm,6,30,AllForest
IDFxm,7,3,AllForest
IDFxw,3,27789,AllForest
IDFxw,4,8928,AllForest
IDFxw,5,332,AllForest
IDFxw,6,3,AllForest
IDFxx2,3,19349,AllForest
IDFxx2,4,9370,AllForest
IDFxx2,5,909,AllForest
IDFxx2,6,63,AllForest
IDFxx2,7,14,AllForest
IMAunp,3,47,AllForest
IMAunp,5,1,AllForest
MHmm1,3,136730,AllForest
MHmm1,4,32701,AllForest
MHmm1,5,16520,AllForest
MHmm1,6,7965,AllForest
MHmm1,7,946,AllForest
MHmm2,3,174672,AllForest
MHmm2,4,38667,AllForest
MHmm2,5,10913,AllForest
MHmm2,6,944,AllForest
MHmm2,7,146,AllForest
MHmmp,3,284,AllForest
MHmmp,4,17,AllForest
MHmmp,5,9,AllForest
MHun,3,263,AllForest
MHunp,3,3,AllForest
MHwh,3,5332,AllForest
MHwh,4,368,AllForest
MHwh,5,114,AllForest
MHwh,6,20,AllForest
MHwh1,3,7300,AllForest
MHwh1,4,564,AllForest
MHwh1,5,144,AllForest
MHwh1,6,37,AllForest
MHwh1,7,2,AllForest
MHwhp,3,35,AllForest
MHwhp,4,1,AllForest
MHwhp,5,1,AllForest
MSdc1,3,12666,AllForest
MSdc1,4,6350,AllForest
MSdc1,5,1151,AllForest
MSdc1,6,1,AllForest
MSdc2,3,19060,AllForest
MSdc2,4,3248,AllForest
MSdc2,5,326,AllForest
MSdc3,3,894,AllForest
MSdc3,4,288,AllForest
MSdc3,5,13,AllForest
MSdk,3,74259,AllForest
MSdk,4,147399,AllForest
MSdk,5,33185,AllForest
MSdk,6,1370,AllForest
MSdk,7,67,AllForest
MSdm1,3,89894,AllForest
MSdm1,4,143878,AllForest
MSdm1,5,35966,AllForest
MSdm1,6,1309,AllForest
MSdm1,7,245,AllForest
MSdm2,3,118072,AllForest
MSdm2,4,132811,AllForest
MSdm2,5,10193,AllForest
MSdm2,6,987,AllForest
MSdm2,7,5,AllForest
MSdm3,3,26267,AllForest
MSdm3,4,60200,AllForest
MSdm3,5,16505,AllForest
MSdm3,6,1712,AllForest
MSdm3,7,101,AllForest
MSdv,3,10275,AllForest
MSdv,4,999,AllForest
MSdv,5,68,AllForest
MSdw,3,69454,AllForest
MSdw,4,96205,AllForest
MSdw,5,20850,AllForest
MSdw,6,765,AllForest
MSdw,7,74,AllForest
MSmw2,3,6909,AllForest
MSmw2,4,3819,AllForest
MSmw2,5,693,AllForest
MSmw2,6,95,AllForest
MSxk1,3,85323,AllForest
MSxk1,4,59971,AllForest
MSxk1,5,2060,AllForest
MSxk1,6,25,AllForest
MSxk1,7,14,AllForest
MSxk2,3,116294,AllForest
MSxk2,4,89931,AllForest
MSxk2,5,4052,AllForest
MSxk2,6,232,AllForest
MSxk2,7,8,AllForest
MSxk3,3,57822,AllForest
MSxk3,4,11420,AllForest
MSxk3,5,253,AllForest
MSxk3,6,1,AllForest
MSxv,3,241621,AllForest
MSxv,4,73630,AllForest
MSxv,5,1103,AllForest
MSxv,6,222,AllForest
PPxh1,3,13298,AllForest
PPxh1,4,3539,AllForest
PPxh1,5,442,AllForest
PPxh1,6,23,AllForest
PPxh2,3,16399,AllForest
PPxh2,4,1959,AllForest
PPxh2,5,223,AllForest
SBPSdc,3,201513,AllForest
SBPSdc,4,93745,AllForest
SBPSdc,5,6910,AllForest
SBPSdc,6,78,AllForest
SBPSmc,3,188259,AllForest
SBPSmc,4,19795,AllForest
SBPSmc,5,453,AllForest
SBPSmc,6,19,AllForest
SBPSmk,3,135769,AllForest
SBPSmk,4,191354,AllForest
SBPSmk,5,17748,AllForest
SBPSmk,6,540,AllForest
SBPSmk,7,98,AllForest
